"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"26-Feb",0,0,11.69843,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,9.002456,4.265066,8.087572,1.804064,1.670857,2.49383,0,5.688908,0,0,0,0,0,0.9572619,18.85956,8.622254,0,0,0
"27-Feb",0,3.159458,,5.941194,0,0,0,,0,0,10.82056,14.61121,0,1.337675,0,0,1.017097,0,,1.711664,2.382863,3.491099,15.42925,8.337758,6.442123,0,0,4.182134,0,2.440526,0,0,0,5.439824,14.0095,0,0,4.101936,0
"28-Feb",0,6.945253,23.2942,18.4163,5.866774,0,0,,0,0,0,0,0,0,0,0,9.436086,6.542085,0,7.235054,1.677372,9.239668,3.776057,16.25202,27.55053,3.359557,0,18.23298,0,12.56138,0,0,0,0,7.311051,15.64985,0,19.02122,0
"29-Feb",,7.399427,,,,0,,,,0,,,,10.28571,,,,0,,,,7.951851,,,,0,,,,11.39803,,,,0,,,,0,
"1-Mar",0,0,0,0,7.757505,0,0,,0,0,0,0,37.79697,35.68945,0,0,0,2.344186,0,0,3.666127,0,1.578929,0,0.7682847,0,14.74483,10.96617,0,0,0,0,0,0,12.27053,7.536395,6.184251,9.423603,0
"2-Mar",0,0,0,1.075933,7.501011,0,0,,0,0,4.520543,0,2.020987,0,0,0,19.96014,0,0,16.34822,0,9.247478,4.779235,0,3.471774,0,0,6.819645,0,9.648249,0,0,0,5.791267,0,11.43106,10.20986,8.663844,0
"3-Mar",0,4.243617,9.648456,3.056841,0,0,0,10.9405,0,5.572403,0,12.37651,25.68184,0,0,0,7.445513,0,0,9.375202,0,0,8.997812,5.676576,0,0,0,17.95203,0,31.43805,0,0,0,0,2.543373,7.878368,14.84601,8.550509,0
"4-Mar",0,0,0,0,0,1.573988,0,11.08679,0,0,0,15.88641,0,0,0,0,1.363036,0,0,0,0,0,4.025117,0,0,0,0,0,0,4.57083,0,0,0,0,0,10.24781,8.468825,5.031357,8
"5-Mar",0,0,,28.65473,,17.48547,0,23.47032,0,0,0,0,3.538021,8.213929,0,,6.226902,18.0521,4.85273,6.782266,0,0,0,0,0,1.895192,0,3.518699,0,4.807194,0,0,1.020473,0,6.179609,0,7.813869,0,9
"6-Mar",0,0,,,0,15.51099,1.741977,0,8.026859,0,0,21.57148,1.676332,0,0,6.807721,1.294697,0,5.605236,8.882319,0,0,0,9.850708,0,0,0,12.94078,8.459164,1.405417,7.263383,5.88522,0,0,1.097303,0,5.281715,0,9
"7-Mar",0,0,0,14.87471,7.449209,13.03336,,10.32502,0,0,5.972986,0,20.22884,5.87456,0,0,7.425193,16.7413,0,5.854873,0,0,0,7.045962,0,0,0,10.08306,0,0,3.276028,0,0,12.36013,2.708032,25.85388,7.162533,17.60934,9
"8-Mar",0,0,0,0,13.61167,8.27873,0,4.223832,0,0,0,0,6.338928,7.740621,0,9.372766,16.11591,1.618595,20.81642,0,0,0,7.879584,13.73984,0,5.9888,0,3.114974,0,0,7.713562,0,0,29.03422,0,0,3.486683,9.419909,18
"9-Mar",0,0,0,1.567277,15.23776,3.839633,0,6.233845,0,0,0,,0,0,0,3.536167,13.59151,4.625912,11.27215,26.69845,3.80902,4.652541,0,4.548676,0,0,0,0,0,0,2.294593,0,0,5.51287,2.196006,7.290294,8.903274,5.65431,0
"10-Mar",0,0,0,0,25.74818,9.719797,0,8.737345,3.011643,0,0,7.129554,5.144143,5.328642,0,8.523649,1.655178,0,0,25.86177,0,1.820703,0,0,24.33907,0,0,0,0,0,4.068868,0,0,0,0,0,0,0,0
